product_id,name,size,resolution,refresh_rate,response_time,panel_type,ports,price,link
210-bqnp,Dell Pro 14 Plus Portable Monitor - P1425,14.0 Inch,1920 x 1200 WUXGA,,7.0ms,In-plane Switching (IPS) Technology,"DisplayPort, USB-C, Thunderbolt, Ethernet","RM 1,319.00",https://www.dell.com/en-my/shop/dell-pro-14-plus-portable-monitor-p1425/apd/210-bqnp/monitors-monitor-accessories
210-bjjm,Dell Pro 24 Plus Touch USB-C Hub Monitor - P2424HT,24.0 Inch,1920 x 1200 WUXGA,,5.0ms,,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet","RM 1,378.99",https://www.dell.com/en-my/shop/dell-pro-24-plus-touch-usb-c-hub-monitor-p2424ht/apd/210-bjjm/monitors-monitor-accessories
210-bvgm,Dell 27 QHD Monitor - SE2726D,27.0 Inch,2560 x 1440 QHD,144Hz,1.0ms,In-plane Switching (IPS) Technology,"DisplayPort, HDMI, USB-C, Thunderbolt",RM 579.00,https://www.dell.com/en-my/shop/dell-27-qhd-monitor-se2726d/apd/210-bvgm/monitors-monitor-accessories
210-bvpg,Dell Pro P 24 USB-C Hub Webcam Monitor - P2426HEV,24.0 Inch,,120Hz,5.0ms,In-plane Switching (IPS) Technology,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet","RM 1,209.00",https://www.dell.com/en-my/shop/dell-pro-p-24-usb-c-hub-webcam-monitor-p2426hev/apd/210-bvpg/monitors-monitor-accessories
210-bvnl,Dell Pro P 24 USB-C Hub Conferencing Monitor - P2426HEB,24.0 Inch,,,5.0ms,In-plane Switching (IPS) Technology,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet","RM 1,449.00",https://www.dell.com/en-my/shop/dell-pro-p-24-usb-c-hub-conferencing-monitor-p2426heb/apd/210-bvnl/monitors-monitor-accessories
210-bvpd,Dell Pro P 27 USB-C Hub Webcam Monitor - P2726DEV,27.0 Inch,,100Hz,5.0ms,In-plane Switching (IPS) Technology,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet","RM 1,509.00",https://www.dell.com/en-my/shop/dell-pro-p-27-usb-c-hub-webcam-monitor-p2726dev/apd/210-bvpd/monitors-monitor-accessories
210-bvnv,Dell Pro P 27 USB-C Hub Conferencing Monitor - P2726DEB,27.0 Inch,,,5.0ms,In-plane Switching (IPS) Technology,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet","RM 2,029.00",https://www.dell.com/en-my/shop/dell-pro-p-27-usb-c-hub-conferencing-monitor-p2726deb/apd/210-bvnv/monitors-monitor-accessories
210-bvns,Dell Pro P 34 USB-C Hub Webcam Monitor - P3426WEV,34.0 Inch,,100Hz,5.0ms,In-plane Switching (IPS) Technology,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet","RM 2,199.00",https://www.dell.com/en-my/shop/dell-pro-p-34-usb-c-hub-webcam-monitor-p3426wev/apd/210-bvns/monitors-monitor-accessories
210-bvnx,Dell Pro P 34 USB-C Hub Conferencing Monitor - P3426WEB,34.0 Inch,,100Hz,5.0ms,In-plane Switching (IPS) Technology,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet","RM 3,309.00",https://www.dell.com/en-my/shop/dell-pro-p-34-usb-c-hub-conferencing-monitor-p3426web/apd/210-bvnx/monitors-monitor-accessories
210-bvhp,Dell UltraSharp 32 4K QD-OLED Monitor - U3226Q,32.0 Inch,3840 x 2160 4K UHD,120Hz,,Quantum Dot OLED,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet","RM 9,138.99",https://www.dell.com/en-my/shop/dell-ultrasharp-32-4k-qd-oled-monitor-u3226q/apd/210-bvhp/monitors-monitor-accessories
210-bmml,Dell Pro 24 Plus Monitor - P2425H,24.0 Inch,1920 x 1200 WUXGA,100Hz,5.0ms,,"HDMI, USB-C, VGA, Thunderbolt, Ethernet",RM 709.00,https://www.dell.com/en-my/shop/dell-pro-24-plus-monitor-p2425h/apd/210-bmml/monitors-monitor-accessories
210-bqtg,Dell 27 Plus 4K USB-C Monitor - S2725QC,27.0 Inch,3840 x 2160 4K UHD,120Hz,5.0ms,In-plane Switching (IPS) Technology,"DisplayPort, HDMI, USB-C, Thunderbolt","RM 1,369.00",https://www.dell.com/en-my/shop/dell-27-plus-4k-usb-c-monitor-s2725qc/apd/210-bqtg/monitors-monitor-accessories
