Model,Brand,Product Class,Brief Naming,Size,Resolution,Response Time,Refresh Rate,Compatible Ports,Warranty
AW3225QF,DELL,Alienware,Alienware 32 4K QD-OLED Gaming Monitor - AW3225QF,"32""",QHD (1440p/2K),N/A,240Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell UltraSharp 27 4K Thunderbolt Hub Monitor - U2725QE,"27.0""",3840 x 2160 4K UHD,N/A,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
AW2725D,DELL,Alienware,Alienware 27 280Hz QD-OLED Gaming Monitor - AW2725D,"27""",QHD (1440p/2K),N/A,280Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell 32 Plus 4K Monitor - S3225QS,N/A,3840 x 2160 4K UHD,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
SE2225HM,DELL,Special Edition,Dell 22 Monitor - SE2225HM,"22""",FHD (1080p),8.0ms,100Hz,"HDMI, USB-C, VGA, Thunderbolt",3 Years
N/A,DELL,,Dell 27 Plus 4K Monitor - S2725QS,N/A,3840 x 2160 4K UHD,8.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
AW2725DF,DELL,Alienware,Alienware 27 360Hz QD-OLED Gaming Monitor - AW2725DF,"27""",QHD (1440p/2K),N/A,360Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell 34 Plus USB-C Monitor - S3425DW,N/A,3440 x 1440 UWQHD,1.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell 32 Plus 4K QD-OLED Monitor - S3225QC,N/A,3840 x 2160 4K UHD,N/A,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
N/A,DELL,,Dell Pro 24 Adjustable Stand Monitor - E2425HSM,"20.0""",N/A,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, VGA, Thunderbolt",3 Years
