Full Product Name,Model,Brand,Brief Naming,Size,Resolution,Response Time,Refresh Rate,Compatible Ports,Warranty
Dell Pro 14 Plus Portable Monitor - P1425,P1425,DELL,DELL Pro Series LED Monitor,"14""",1920 x 1200 WUXGA,7.0ms,,"DisplayPort, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro 24 Plus Touch USB-C Hub Monitor - P2424HT,P2424HT,DELL,DELL Pro Series LED Monitor,"24""",1920 x 1200 WUXGA,5.0ms,,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell 27 QHD Monitor - SE2726D,SE2726D,DELL,DELL SE Series LED Monitor,"27""",2560 x 1440 QHD,1.0ms,144Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell Pro P 24 USB-C Hub Webcam Monitor - P2426HEV,P2426HE,DELL,DELL Pro Series LED Monitor,"24""",,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro P 24 USB-C Hub Conferencing Monitor - P2426HEB,P2426HE,DELL,DELL Pro Series LED Monitor,"24""",,5.0ms,,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro P 27 USB-C Hub Webcam Monitor - P2726DEV,P2726DE,DELL,DELL Pro Series LED Monitor,"27""",,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro P 27 USB-C Hub Conferencing Monitor - P2726DEB,P2726DE,DELL,DELL Pro Series LED Monitor,"27""",,5.0ms,,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro P 34 USB-C Hub Webcam Monitor - P3426WEV,P3426WE,DELL,DELL Pro Series LED Monitor,"34""",,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro P 34 USB-C Hub Conferencing Monitor - P3426WEB,P3426WE,DELL,DELL Pro Series LED Monitor,"34""",,5.0ms,100Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell UltraSharp 32 4K QD-OLED Monitor - U3226Q,U3226Q,DELL,Dell UltraSharp Series LED Monitor,"32""",3840 x 2160 4K UHD,,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
Dell Pro 24 Plus Monitor - P2425H,P2425H,DELL,DELL Pro Series LED Monitor,"24""",1920 x 1200 WUXGA,5.0ms,100Hz,"HDMI, USB-C, VGA, Thunderbolt, Ethernet",3 Years
Dell 27 Plus 4K USB-C Monitor - S2725QC,S2725QC,DELL,DELL S Series LED Monitor,"27""",3840 x 2160 4K UHD,5.0ms,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Alienware 32 4K QD-OLED Gaming Monitor - AW3225QF,AW3225QF,DELL,Dell Alienware Series LED Monitor,"32""",2560 x 1440 QHD,,240Hz,"DisplayPort, HDMI, USB-C, Thunderbolt",3 Years
Dell UltraSharp 27 4K Thunderbolt Hub Monitor - U2725QE,U2725QE,DELL,Dell UltraSharp Series LED Monitor,"27""",3840 x 2160 4K UHD,,120Hz,"DisplayPort, HDMI, USB-C, Thunderbolt, Ethernet",3 Years
